Keywords
10fold crossvalidation
late harvest
latent period
latin america
lattice maps
laws and legislation
layered semiconductors
lcl filters
lead
lead acid batteries
lead adsorption
lead alloys
lead compounds
leakage currents
leakage fluid
leakage inductance
learning
learning abilities
learning agents
learning algorithm
learning algorithms
learning curve
learning database
learning effectiveness
learning matrix
learning process
learning sequences
learning systems
learningbased methods
least absolute shrinkage and selection operators
least mean square algorithm
least mean square algorithms
least mean square lms
least square analysis
least squares approximations
leastmean squares lms
leastmeansquare lms algorithm
leastsquares analysis
left hemisphere
left ventricular systolic pressure
leg
leg muscles
legendre
legitimate users
lenses
lesion segmentations
less iatrogenic
letrozole
letter
leukocyte
leukocyte count
level control
level converter
level converters
level design
levelized cost of electricities
levelized costs
libs
lie algebra
life span
lifter forces
light
light absorption
light loads
light measurement
light modulation
light propagation
light propagation in tissue
light related phenomena
light sources
light transmission
lightmatter interactions
lightweight coated
lightweight coated paper machines
lightweight papers
likelihood functions
limb
limb prosthesis
limbic system
limit of detection
limited bandwidth
limited communication range
line currents
line of sight
line voltage
linear accelerator
linear accelerators
linear analysis
linear approximations
linear combinations
linear control systems
linear controllers
linear controls
linear discriminant analysis
linear dynamical models
linear encoding
linear equations
linear inverse problems
linear load
linear matrix inequalities
linear matrix inequalities lmis
linear modeling
linear models
linear output feedback
linear parameter varying systems
linear perceptrons
linear process
linear programming
linear quadratic gaussian
linear quadratic regulator
linear systems
linear time invariant
linear time invariant controller
linear time invariant plant
linear time invariant systems
linear time invariants
linear timeinvariant
linear timeinvariant system
linear transform
linear transformations
linear uncertain systems
linearisation
linearization
linearized models
linearquadratic regulator
lineofsight attenuations
liner wear
lineshaft
linguistics
link failures
linkes turbidity factor
lipschitz constant
lithium
live cell
liver
living organisms
lmi
lmi constraints
lmi solutions
lmis
lms algorithms
load angle
load condition
load conditions
load control
load currents
load disturbances
load flow analysis
load forecasting
load levelling
load modeling
load monitoring
load operations
load power factor
load profiles
load torques
load transients
load voltages
load zones
loading
loads
loadshedding
local adaptation
local algorithm
local area networks
local binary patterns
local control strategies
local gradients
local image features
local learning
local measurement
local oscillators
local scour
local search optimization
local strains
local transfer
local transfers
local variables
localisation
locality of reference
locality sensitive hashing
location constraints
location value
locked charge
locks fasteners
logdomain
logic gates
logic resources
logical behavior
logistic regression
logistic regression models
long distance communication
long distance connectivity
long range dependence
long short term memory network
long shortterm memory
long term depression
long term potentiation
long wave infrared
long waves
longitudinal direction
longitudinal study
loop transfer recovery
loser take all
loss functions
loss minimization
loss reduction
low and middle income countries
low bias
low cost eye tracking
low costs
low current itc
low distortion
low frequency
low load
low noise amplifiers
low order harmonics
low pass filters
low power
low power application
low power electronics
low power factors
low powers
low resolution images
low resolution video sequence
low risk patient
low speed
low speed operation
low switching frequency
low voltages
low weight
lowcost solution
lowcost systems
lowdimensional spaces
lower bounds
lower cost
lower cost materials
lower limb
lower resolution
lowerpower consumption
lowfrequency
lowfrequency components
lowfrequency currents
lowloss
loworder models
lowpower operation
lowvoltage applications
lowvoltage ride through lvrt
lowvoltage semiconductors
lubrication
lumbar spine
lumen segmentations
lumped parameter
lung
lung simulators
lung volume
lupus erythematosus
lyapunov functionals
lyapunov functions
lyapunov stability
lyapunov theories
lyapunovbased control
lyapunovkrasovskii type
lymphocyte count
machine codes
machine construction
machine controls
machine design
machine ensembles
machine fusion
machine learning
machine learning algorithms
machine learning ensembles
machine learning methods
machine learning models
machine learning techniques
machine loads
machine operating
machine operators
machine performance
machine saliencies
machine saliency
machine tool drives
machine tools
machine vector controls
machine vision systems
machine windings
machinelearning
machinery
macros
macroscopic levels
macroscopic properties
magnet shape
magnet shapes
magnetic bearings
magnetic circuits
magnetic couplings
magnetic devices
magnetic disk
magnetic field effects
magnetic field monitoring
magnetic field sensors
magnetic fields
magnetic flux
magnetic force
magnetic leakage
magnetic levitation vehicles
magnetic materials
magnetic nozzles
magnetic resonance
magnetic resonance angiography
magnetic resonance images
magnetic resonance imaging
magnetic resonance spectroscopy
magnetic saturations
magnetic storage
magnetically anisotropic rotor
magnetically suspended
magnetism
magnetite
magnetization curves
magnetizing current
magnetizing inductance
magnetrons
magnets
magnitude spectrum
main controllers
main process
maintainability
maintenance
maintenance operations
maintenance work
major clinical study
making process
male
maloneywandell
mammal
mammals
mammography
management information systems
management of technology
manhattan distance
manifold learning
manifold learning algorithm
manipulators
mannwhitney u test
manual inspection
manufacture
manufacture parameters
manufacturing costs
manufacturing molerance
manufacturing tolerances
many valued logics
mapping
maps
marine biology
marine environment
marine organisms
market inefficiencies
marketing
markov chain
markov processes
markov random processes
markovian
markovian process
mask rcnn
masking
mass balance
mass spectra
mass spectrometry
material cost
materials and products
materials handling
materials handling equipment
mathematic algorithms
mathematical abstraction
mathematical analyses
mathematical analysis
mathematical approach
mathematical basis
mathematical calculations
mathematical computing
mathematical equations
mathematical formulation
mathematical formulations
mathematical justification
mathematical model
mathematical models
mathematical operators
mathematical phenomena
mathematical representations
mathematical structure
mathematical techniques
mathematical transform
mathematical transformations
mathematical transforms
mathematics
matlab
matlab environment
matlabsimulink
matlabsimulink software
matr ix converters
matrix
matrix algebra
matrix converter
matrix converters
matrixes
maturity levels
max planck institute
maximum available power
maximum efficiencies
maximum frequency
maximum likelihood estimation
maximum power
maximum power point
maximum power point trackers
maximum power point tracking
maximum power point tracking algorithms
maximum power tracker
maximum principle
maximum speed
maximum systolic deceleration rate
maximum throughput
maximum torque
maximum torque per ampere
maximum values
maxwell equations
mean arterial pressure
mean diffusivity
mean flow velocities
mean frequency
mean relative error
mean square error
mean squared error
meaningful use
meaningful use criteria
measurable variables
measured data
measured voltages
measurement accuracy
measurement device
measurement method
measurement methods
measurement standards
measurement system
measurement techniques
measurement technologies
measurement theory
measurements
measuring methods
mechanical action
mechanical analysis
mechanical applications
mechanical characterizations
mechanical components
mechanical deformation
mechanical drives
mechanical engineering
mechanical modelling
mechanical parts
mechanical performance
mechanical properties
mechanical properties of wood
mechanical resistance
mechanical response
mechanical stress
mechanical systems
mechanical variables control
mechanical ventilation
mechanical ventilator
mechanics
mechanocardiography
medial frontal cortex
medial prefrontal cortex
median frequency
medical analysis
medical and biological imaging
medical applications
medical computing
medical conditions
medical device
medical devices
medical doctors
medical education
medical equipment
medical ethics
medical fields
medical history
medical image segmentation
medical imaging
medical informatics
medical information system
medical instrumentation
medical personnel
medical problems
medical surgical supplies
medical technologies
medical technology
medical treatment
medicine
medium term
medium voltage
medium voltage motor
medium voltage network
medium voltages
mediumvoltage
mediumvoltage distribution networks
mediumvoltage distribution systems
melatonin
membership functions
membrane biofilm reactor
membrane channel
membrane current
membrane fragments
membrane matrix
membrane proteins
membranes
memory
memory architecture
memory consolidation
memory disorder
memory disorders
memory hierarchy
memory length
memory requirements
memory shortterm
memory systems
memoryless
menstrual cycle
mental health
mental performance
mental state
mental stress
mental task
merging algorithms
mesenchymal stem cell
mesh generation
mesh resolution
message streams
messaging
messenger rna
meta analysis
metabolic mechanism
metabolism
metacarpophalangeal
metacercaria
metacercariae
metagenomics
metaheuristic
metaheuristic approach
metaheuristics
metal cladding
metal halides
metal nanoparticle
metal nanoparticles
metamodeling
metastasis
meteorological factors
meteorological station
meteorological variables
meteorology
metered dose inhaler
metered dose inhalers
methanation
method
method of modeling
methodology
methylene blue
metropolitan area networks
mhealth
mice
mice transgenic
micorgrids
micro architectures
micro genetic algorithm
micro inverters
microalgae
microarray analysis
microbial growth
microbial surfaces
microbial viability
microbicidal effect
microbolometer
microbolometerbased infrared camera
microcalcifications
microchannels
microfiltration
microfluidic analysis
microfluidic devices
microfluidic pumping
microfluidics
microgrid
microgrid systems
microgrids
microinverter
microinverters
microorganisms
microprocessor chips
microscopic analysis
microscopic examination
microscopic imaging
microscopic views
microscopy
microscopy imaging
microscopy video
microsensors
microservice
microstructural effects
microstructural levels
microstructure
microtechnology
mid wave infrared mwir
middle aged
middle cerebral artery
middle points
middle temporal gyrus
middleware
midwave infrared imageries
midwavelength infrared
migraine
migration strategy
milk
milking machines
mill fillings
mill shutdown
millimeter waves
mimo communication
mimo systems
mine tailings
mine trucks
mineral industry
mineral processing
mineral processing industry
mineral processing plants
mineral species
mineralogical analysis
mineralogical compositions
minerals
miners
minimal loss reconfiguration
minimum energy
minimum energy control
minimum potential energy
minimum time
minimum weight spanning trees
minimumphase
mining
mining concentrator plants
mining equipment
mining machinery
mining operations
mining process
mining sector
mining shovels
mining tasks
missing data
mitigation methods
mixed signal
mixed signals
mixer circuits
mixtures
ml estimators
mobile application
mobile applications
mobile cellular communications
mobile computing
mobile devices
mobile health care
mobile platform
mobile power supplies
mobile security
mobile telecommunication systems
mobilenet convolution algorithm
mode control
model
model assessment
model based controls
model based optimization
model based predictive control
model description
model parameters
model predictive
model predictive control
model rainfallrunoff
model reference adaptive control
model reference adaptive system
model structures
model uncertainties
modelbased opc
modeling and control
modeling equations
modeling tool
modelling and controls
modelling and simulations
modelling error
modelpredictive control
models
models anatomic
models animal
models biological
models genetic
models neurological
models statistical
models theoretical
moderate intensity continuous training
moderate obesity
modern development
modernization
modified algebraic riccati equation
modified expectationmaximization
modified flyback converters
modis satellite sensors
modular approach
modular approaches
modular configurations
modular currents
modular implementation
modular machines
modular multilevel converter
modular multilevel converters
modular stator core
modular stators
modular structures
modular topologies
modulars
modulating functions
modulating signals
modulating techniques
modulation
modulation algorithm
modulation formats
modulation indexes
modulation methods
modulation schemes
modulation strategy
modulation techniques
modulators
modulus of elasticity
moisture
molecular diagnosis
molecular mechanics
molecular physics
molecular structure
molecular systems
mollusc
mollusca
molluscs
molten phase
molten phasis
molybdenum
molybdenum compounds
monitoring
monitoring ambulatory
monitoring and control
monitoring and control systems
monitoring device
monitoring physiologic
monitoring sensors
monitoring stations
monitoring system
monitoring technologies
monocyte
monolithic integrated circuits
monolithic microwave integrated circuits
monolithic microwave integrated circuits mmic
mononuclear cell
monophasic
monosynaptic reflex
monte carlo cross validation
monte carlo methods
montgomery asberg depression rating scale
monthly rainfalls
mood
morbid obesity
morphological alteration
morphological changes
morphological response
morphology
morphotype
mortality
mosfet devices
mother
mothers
motif discovery
motion
motion control
motion estimation
motion information
motion measurement
motion measurements
motion planning
motivation
motor activity
motor components
motor cortex
motor drive
motor drives
motor frames
motor performance
motor rehabilitation
motor terminals
motor transportation
motor windings
motors
mountain ranges
mouse
movement
movement physiology
moving averages
moving interface
mppt
mri segmentation
ms model
mulina edulis
mulinia
mulinia edulis
multi agent systems
multi attribute decision making
multi band
multi cells
multi core
multi objective
multi objective evolutionary algorithms
multi objectives
multi path routing
multi pulse
multi spans
multi stage
multi variables
multi variate analysis
multiagent negotiation
multiagent platforms
multicasting
multicell
multicell converters
multicell rectifier
multicell singlephase topology
multicenter study
multichannel eeg
multicore optical fibers
multidimensional approach
multidimensional distributions
multidimensional information
multidimensional nature
multidimensional systems
multidrive systems
multieffect evaporators
multienergy systems
multiinput  multioutput systems
multiinverters
multilayer neural networks
multilayer perceptron
multilayers
multilayers perceptrons
multilevel
multilevel converter
multilevel converters
multilevel inverter
multilevel modular converter
multilevel modulation
multilevel pattern
multilevel power
multilevel power converters
multilevel system
multilevel systems
multilevel topologies
multilevels
multimachine systems
multimedia resources
multimedia systems
multimodal
multimodal image registration
multimodal imaging
multimodal problems
multimodal registration
multimodule
multimotor drive
multiobjective approach
multiobjective optimisation
multiobjective optimization
multiobjective problem
multiobjective ranking
multiobjective strategies
multiobjectives optimization
multiple access interference
multiple access network
multiple areas
multiple attributes
multiple cameras
multiple correlation
multiple disturbance
multiple echoes
multiple feedback
multiple function
multiple input multiple output system
multiple inputmultiple outputs
multiple inverters
multiple iterations
multiple local maximums
multiple measurements
multiple resources
multiple sclerosis
multiple sclerosis lesions
multiple shot
multiplecoincidence
multipleobjectives
multiplepeak
multiplexing
multiplicative effects
multiplicative model
multiplicative noise
multiplicative uncertainty
multipulse
multipulses
multiscale entropy
multispan systems
multispans
multispectral images
multispectral satellite image
multistep inverter optimization
multiterminal dc
multiterminal hvdc
multiuser detection
multivariable systems
multivariant analysis
multivariate curve resolution
multivariate data analysis
multiwalled carbon nanotubes mwcn
muscle
muscle activation
muscle contraction
muscle development
muscle fatigue
muscle isometric contraction
muscle skeletal
muscle synergies
music
mussel
mutant
mutation
mutation radius
mutual inductance
myelinated nerve
mytilidae
n methyl dextro aspartic acid
n methyl dextro aspartic acid receptor
nanda
nanocomposites
nanomechanical characterization
nanoparticle synthesis
nanostructured
nanostructured membranes
nanostructures
narcotic antagonist
narcotic antagonists
narration
narrow bands
nasa
national adult reading test
national standard
natural design
natural fields
natural frequencies
natural gas
natural gas flames
natural language processing
natural language processing systems
natural languages
natural perception
natural resources
natural textures
navier stokes
navier stokes equations
navierstokes equation
navigation
near infra red
near infrared
near infrared imaging system
near infrared spectra
nearest neighbor
nearest neighbor search
nearinfrared imaging
nearoptimal solutions
nebulizer
nebulizers and vaporizers
needlemanwunsch
negative correlation
negative sequence
negotiation
negotiation strategy
neoplasm
nerve cell
nerve cell network
nerve cell plasticity
nerve fiber
nerve fiber atlas
nerve fiber degeneration
nerve fibers
nerve fibers myelinated
nerve injuries
nerve net
nerve projection
nerve stimulation
nerve tract
nervous system development
nervous system inflammation
nested cross validation
net present value
network accuracy
network architecture
network configuration
network connectivity
network control systems
network frequency
network infrastructure
network layers
network modeling
network on chip
network partitions
network performance
network quality of services
network reliability
network security
network simulation
network size
network structures
network technologies
network time delay
network topology
network traffic monitoring
network virtualization
networked control systems
networked controls
networking
networking devices
networks circuits
neural conditions
neural conduction
neural fibers
neural gas
neural gas models
neural network compensation
neural network controllers
neural network systems
neural networks
neural networks computer
neural pathways
neural systems
neuralnetwork
neuro fuzzy classification
neuroanatomy
neurobiology
neurocognitive performance test
neurofuzzy
neurofuzzy inference systems
neurofuzzy model
neurofuzzy modeling
neuroglia
neuroimaging
neuroimaging analysis
neuroimaging techniques
neurologic gait disorder
neurology
neuromuscular blockade
neuromuscular blocking agents
neuronal circuitries
neuronal dynamics
neuronal networks
neuronal plasticity
neurons
neuropathology
neuroprotection
neuropsychological test
neuropsychological tests
neuroscience
neurotransmitter agents
neurotransmitter release
neutral currents
neutral grounding
neutral point clamped
neutral point clamped converters
neutral point clamping
neutral shifts
neutralization process
neutron emission
neutrophil
new applications
new constructions
new correlations
new devices
new mathematical model
new modulation
new protocol
new strategy
new topologies
newborn
newborn period
nfpa70e
nicd batteries
nickel
nickel cadmium batteries
nickel compounds
nico catalysts
nip
nip roll speed
nir camera
nir hyperspectral imaging
nir spectrum
nitrogen
no load
no load voltage
no loads
nociception
nocv1
noise
noise abatement
noise cancellation
noise equivalent temperature difference
noise estimation
noise figure
noise in imaging systems
noise process
noise ratio
noise rejection
noise variance
noisecancellation system
noisy measurements
nomenclature
non insulin dependent diabetes mellitus
non invasive
non invasive procedure
non linear
non linear control
non uniformities
noncharacteristic harmonics
noncontact measurement technique
noncontact measurements
nonfunctional
nonfunctional requirements
nongaussianity
nonhuman
nonideal conditions
nonintrusive
nonintrusive measurements
nonintrusive methods
nonintrusive sensors
noninvasive monitoring
noninvasive technique
noninvasive way
nonisothermal reactions
nonlinear
nonlinear algorithms
nonlinear autoregressive process
nonlinear autoregressive time series
nonlinear calibration
nonlinear characteristics
nonlinear constraints
nonlinear control
nonlinear control systems
nonlinear control theory
nonlinear controllers
nonlinear controls
nonlinear current
nonlinear dynamical systems
nonlinear dynamics
nonlinear elements
nonlinear equations
nonlinear error
nonlinear feedback
nonlinear finiteelement analysis
nonlinear functions
nonlinear inputs
nonlinear load
nonlinear loads
nonlinear model
nonlinear model identification
nonlinear modeling
nonlinear modelling
nonlinear observer
nonlinear optical devices
nonlinear optics
nonlinear optimization problems
nonlinear output maps
nonlinear perturbations
nonlinear pi controller
nonlinear pid controllers
nonlinear plant
nonlinear predictive control
nonlinear process control
nonlinear state estimation
nonlinear structure
nonlinear system
nonlinear systems
nonlinear time series
nonlinear transfer functions
nonlinearity
nonmetals
nonminimum phase
nonminimum phase behavior
nonminimum phase plants
nonminimum phase systems
nonminimum phase zero
nonnegative matrix factorization
nonorthogonal basis
nonoverlapping
nonparametric methods
nonregenerative
nonrenewable
nonresidential client
nonresidential customers
nontherapeutic human experimentation
nontherapeutic research
nontrivial
nonuniform
nonuniform quantization
nonuniform sampling
nonuniformities
nonuniformity
nonuniformity correction
nonuniformity correction algorithm
nonuniformity correction method
nonuniformity corrections
nonuniformity gain
nonuniformity noise
normal distribution
normal human
normal operating conditions
normal operation
normal operations
normalisation
normally closed nc switches
normally open no switches
normbounded uncertainty
norms
novel applications
novel methods
novel modulation
novel object recognition test
novel solutions
novelty detection
nphard
nsgaii
nuclear magnetic resonance imaging
nuclear magnetic resonance scanner
nuclear magnetic resonance spectroscopy
nucleic acid
nucleic acid sequence based amplification
nucleotide sequence
number of peoples
number of samples
number of switches
numerical algorithms
numerical approaches
numerical experiments
numerical gradient
numerical methods
numerical model
numerical models
numerical precision
numerical studies
nursing
nursing documentation
nutrition
nutritional status
obesity
object informations
objective approaches
observability
observation control
observational method
observational study
observatories
observer based control
observer design
observerbased
observerbased controllers
obsolescence
obstacle detection
obstacle detectors
obstetrics
occipitofrontal fasciculus
occupation
occupational risks
occupational safety
occupations
ocean acidification
ocean acidifications
ocean surfaces
ocean warming
octadecane
of quantuminformation
offender
official statistics
offline
offline optimization
offline testing
offset parameters
offshore
offshore oil well production
offshore power plants
offshore wind energy
offshore wind farms
offshore wind power
offshore wind power plants
oil boilers
oil industry
oil refining
older adults
on chip memory
on chips
on currents
on sites
onchip learning
one dimensional
online
online calibration
online detection
online determination
online estimation
online estimation algorithm
online implementation
online instrumentation
online instruments
online measurement
online monitoring
online optimizations
online system
online systems
onmachines
onoff
onoff valves
opacity
open channel flow
open channels
open circuits
open educational resources
open field test
open loop operation
open loops
open pit
open pit mining
open source platforms
open source software
open systems
openend windings
opensource
opensource hardwares
operating condition
operating costs
operating current density
operating currents
operating cycle
operating frequency
operating loss
operating modes
operating points
operating power
operating pressure
operating principles
operating regions
operating speed
operating temperature
operating times
operation analysis
operation characteristic
operation conditions
operation efficiencies
operation mode
operation point
operation reliability
operational availability
operational characteristics
operational conditions
operational constraints
operational continuity
operational costs
operational data
operational decision making
operational experience
operational guidelines
operational limits
operational monitoring
operational performance
operational scenario
operational temperature
operational variables
opiate
opiate receptor
optical analysis
optical bistability
optical communication
optical correlation
optical data processing
optical devices
optical diagnostics for medicine
optical fiber communication
optical fiber coupling
optical fiber networks
optical fibers
optical filters
optical flow algorithm
optical frequency conversion
optical information
optical inspection
optical instrumentation
optical measurement
optical modifications
optical path lengths
optical processes
optical properties
optical pumping
optical pyrometry
optical resolving power
optical sensing
optical sensor
optical sensors
optical signal processing
optical systems
optical testing
optical transfer function
optical trap
optical trap forces
optical tweezers
optical variables measurement
opticalfiber links
optics
optimal approaches
optimal combustions
optimal conditions
optimal control systems
optimal controller
optimal controls
optimal design
optimal estimations
optimal location
optimal number
optimal numbers
optimal performance
optimal points
optimal position
optimal power allocation
optimal power flows
optimal process
optimal regulators
optimal selection
optimal solutions
optimal switching
optimal trajectories
optimal values
optimality
optimisation
optimisation problems
optimisations
optimization
optimization algorithms
optimization and control
optimization method
optimization models
optimization problems
optimization procedures
optimization process
optimizationbased algorithm
optimized algorithms
optimized application
optimized operations
optimizing control
optimum control
optimum designs
optimum selection
optimum voltages
optoelectronic
optoelectronic applications
optoelectronic devices
optoelectronic imaging
optoelectronic imaging system
optomechanics
orbital angular momentum
orbital cortex
order of magnitude
orders of magnitude
ore analysis
ore deposits
ore grades
ore minings
ore pellets
ore treatment
ores
organ size
organic matter
organics
organisational
organization and management
organizational diagnosis
organizational mechanisms
orientation
orl database
orthogonal frequency division multiplexing
orthogonal matrix
orthotropic behavior
oscillating power compensation
oscillation
oscillatory potential
ossification
osteoarthritis
osteogenesis
osteoporosis
other applications
outages
outcome assessment
outcome variable
outlier identification
output current
output currents
output dc voltage
output feedback
output feedback controls
output filters
output frequency
output lines
output phase
output power
output power degradation
output powers
output signal
output stages
output variables
output voltages
over current
over modulation
over sampling
over the counters
over voltages
overall efficiency
overall equipment effectiveness
overall performance
overall power conversion efficiency
overall stabilities
overcomplete dictionaries
overfitting
overhead transmission lines
overlapping regions
overload capability
overload capacity
overload conditions
oversizing
overweight
oxidative stress
oxygen
oxygen consumption
oxygen radioisotopes
oxygen tension
oxytetracyclines otc
ozonated water
ozone
packet dropouts
packet loss
packet networks
paclitaxel
pain
pain assessment
pain evoked potential
pain intensity
pain management
pain measurement
pain perception
pain threshold
palmprint recognition
pandemic
pandemics
paper
paper addresses
paper analysis
paper and pulp industry
paper and pulp mills
paper capacitors
paper coating
paper industry
paper machine
paper machine drive
paper machine drives
paper machines
paper making
paper making equipment
paper manufacturing
paper products
paper sheeting
paper winders
papermaking
papermaking machinery
papermaking process
parabolic trough
parabolic trough concentrators
parallel algorithms
parallel assembling
parallel connected power converters
parallel connections
parallel converters
parallel currents
parallel data
parallel flow
parallel hybrids
parallel implementations
parallel method
parallel optimization
parallel platforms
parallel programming
parallel software
parallelconnected
parameter determination
parameter estimation
parameter model
parameter modification
parameter sensitivities
parameter uncertainty
parameter variations
parameters identification
parasite
parasite infection
parasite prevalence
parasitic extraction
parasitism
parcellation
pareto front
pareto optimal solutions
pareto optimization
pareto principle
paretooptimal design
parietal cortex
parietal lobe
park transform
park transformation
parkinson disease
pars opercularis
partial fraction expansion
partial least square pls
partial least squares discriminant analyses plsda
partial power
partial power converter
partial pressure sensors
partial shading
partial shading algorithm
partial shading effects
partial stability
partial stabilization
partial volume imaging
particle beams
particle motions
particle size
particle size analysis
particle swarm optimization pso
particleswarmoptimization
particulate materials
particulate matter 10
partner violence
passivation
passive filters
passive learning
passivity based
passivity based control
passivitybased control
passivitybased controller
passivitybased controllers
patellidae
pathogenesis
pathological conditions
pathology
pathophysiology
patient coding
patient discharge
patient monitoring
patient rehabilitation
patient specific
patient transport
patient treatment
patients suffering
pattern based adaptive control
pattern matching
pattern recognition
pattern recognition automated
pattern recognition systems
pattern recognition visual
payload
pdes
peak discharge
peak frequencies
peak signaltonoise ratio
pearson coefficient
pearson correlation coefficients
pearsons correlation coefficients
peertopeer support
pelletizing
pelton turbines
pelvis
pem fuel cell
pem fuel cell stack
pem fuel cells
penalisation
peptides
perception
perceptive discrimination
perceptive threshold
perceptron
perceptual masking
perfect matches
performance
performance analysis
performance assessment
performance based
performance characteristics
performance comparison
performance criterions
performance degradation
performance evaluation
performance improvements
performance indicator
performance indicators
performance indices
performance issues
performance limitations
performance measure
performance measurements
performance metric
performance parameters
perfusion
periaqueductal gray
periaqueductal gray matter
perinatal complications
perinatal development
perinatal period
periodic reference
periodic reference tracking
periodic signal
periodic structures
periodic tracking
peripheral occlusive artery disease
peritoneal lavage
peritoneum lavage
peritonitis
permanent magnet electrical machines
permanent magnet generator
permanent magnet motor
permanent magnet rotors
permanent magnet synchronous generator
permanent magnet synchronous machines
permanent magnets
permanent magnets synchronous machines
permanentmagnet machine
permanentmagnet machines
perovskite
person identification
personal computers
personnel training
perturbed linear systems
peru
perumytilus purpuratus
pervasive monitoring
petroleum refineries
petroleum refining
ph effects
ph neutralization process
ph responsiveness
phantom
phantoms
phantoms imaging
pharmaceutics
phase change materials
phase correlation
phase currents
phase interfaces
phase interpolation
phase locked loop pll
phase locked loops
phase modulation of light
phase noise
phase space methods
phase spaces
phase switching
phase topology
phase voltage
phase voltage source inverters
phaseelectric
phaselocked loop algorithm
phasor measurement units
phasors
phenomenological modeling
phenotype
phosphorus
photic stimulation
photodiodes
photoelectrochemical cells
photography
photolithography
photon
photon transmission
photonics
photons
photoplethysmogram
photoplethysmography ppg
photoreceptor
photoresists
photostimulation
phototransduction
photovoltaic
photovoltaic applications
photovoltaic arrays
photovoltaic cells
photovoltaic effects
photovoltaic energy
photovoltaic generation
photovoltaic generation system
photovoltaic inverters
photovoltaic modules
photovoltaic panels
photovoltaic plant
photovoltaic solar energy
photovoltaic sources
photovoltaic systems
photovoltaic technology
photovoltaics
photovoltaicthermal
photovoltalcs
phsensitive hydrogel
phylogenetic analysis
phylogenetic inference
phylogenetic tree
phylogenetics
phylogeny
physical activity
physical and rehabilitation medicine
physical changes
physical fitness
physical laws
physical layer impairments
physical layers
physical network
physical parameters
physical phenomena
physical sensors
physical stimulation
physical variables
physician
physicsbased modeling
physiologic monitoring
physiological monitoring
physiological state
physiological variables
physiology
pi blocks
pi control
pi controller
pi controllers
pi current controllers
picard processes
pid controller design
pid controllers
pid design
pier
piers
piezoelectric crystals
pigment
pilot plants
pilot projects
pilot study
pinus radiata
pipeline processing systems
pipelined architecture
pipelines
pitch
pixel level
pixel statistics
pixels
pixeltopixel response
placebo
placebo effect
planning stages
plant designs
plant efficiency
plant factor
plant loads
plant model
plant modelling
plant output
plant shutdowns
plant sites
plant structures
plantar pressure measurement
plantar pressures
plants botany
plasma
plasma diagnostics
plastic pollutions
plasticity
platinum compounds
platooning
player experience
pleiotrophin
plenoptic
plume
pm machines
pm synchronous machines
point of common connections pcc
point of common coupling
poisson brackets
poisson structure
polarization
pole assignment
pole configuration
pole configurations
poles
poles location
pollutant
pollutants emissions
polyacrylic acid
polydimethylsiloxane pdms
polyelectrolytes
polymer layers
polymorphonuclear cell
polynomial transform
polypropylenes
polysaccharide
polysaccharides
polysomnography
polyvinyl chloride pvc
polyvinyl chlorides
poor performance
population statistics
porphyropsin
port hamiltonians
portable applications
portcontrolled hamiltonian
porthamiltonian systems
position control
position information
positive and negative syndrome scale
positive correlations
positive features
positron emission tomography
positronemission tomography
possible futures
possible solutions
post hoc analysis
post interventions
post layout simulation
post signal processing
postprocessing
postsynaptic density
posttraumatic stress disorder
postural balance
posture
potential capability
potential instability
potential researches
potential threats
potting materials
powders
power
power allocation strategies
power allocations
power amplifiers
power applications
power balance
power bridges
power calculation
power capabilities
power capacitor
power cells
power circuit topologies
power coefficients
power compensation
power conditioners
power conditioning
power conditioning systems
power consumption
power control
power control strategies
power controllers
power conversion
power conversion efficiencies
power conversion harmonics
power conversion systems
power converter control
power converter topology
power converters
power curves
power dcdc converters
power demands
power densities
power device economics
power distribution company
power distribution grids
power distribution planning
power distribution system
power distribution systems
power distributions
power drives
power electronic devices
power electronic drive
power electronic interface
power electronics
power electronics building block pebb
power factor
power factor corrections
power factor pf
power factors
power flow analysis
power flow controls
power flows
power generation
power generation control
power generation economics
power generation sources
power generation systems
power harmonic filters
power injections
power levels
power links
power machines
power markets
power minimization
power module
power operation
power oscillations
power outages
power planning
power plant
power plants
power predictions
power quality
power quality disturbances
power quality problem
power quality problems
power ramp rates
power rates
power ratings
power ratios
power requirement
power requirements
power savings
power semiconductors
power spectral
power spectral density
power supply
power supply circuits
power supply voltage
power switches
power switching
power system fault
power system harmonic
power system harmonics
power system management
power system modeling
power system operations
power system software
power systems
power systems harmonics
power systems planning
power thresholds
power transformers
power transistors
power transmission
power voltage characteristics
power voltage curves
powerconverter interfaces
powerelectronic converters
powering systems
powerlosses
ppi controllers
practical combustion
practical development
practical issues
practical recommendation
practical solutions
practice guideline
praseodymium compounds
precision
precuneus
prediction
prediction horizon
prediction horizons
prediction methods
prediction model
prediction modelling
prediction uncertainty
predictive algorithms
predictive analytics
predictive control
predictive control algorithm
predictive control methods
predictive control strategy
predictive control systems
predictive controller
predictive controls
predictive current control
predictive maintenance
predictive methods
predictive modeling
predictive models
predictive tools
predictive torque control
predictive torque controls
predictive value
predictive value of tests
predictive values
prefrontal cortex
pregnancy
pregnancy diabetes mellitus
pregnancy outcome
pregnancy trimester second
pregnant woman
preheating
preheating process
preliminary analysis
preliminary approach
premature aging
premotor cortex
preprocessing step
preschool child
press section
presses machine tools
pressure
pressure differences
pressure gradient
pressure measurement
pressure relief
pressure sensors
